"population","age","sex"
3783052,"Under 1 year","All Sexes"
15793631,"1-4 years","All Sexes"
40994163,"5-14 years","All Sexes"
42687510,"15-24 years","All Sexes"
45940321,"25-34 years","All Sexes"
41659144,"35-44 years","All Sexes"
40874902,"45-54 years","All Sexes"
42448537,"55-64 years","All Sexes"
31483433,"65-74 years","All Sexes"
15969872,"75-84 years","All Sexes"
6604958,"85 years and over","All Sexes"
1935117,"Under 1 year","Male"
8074090,"1-4 years","Male"
20941023,"5-14 years","Male"
21810359,"15-24 years","Male"
23359180,"25-34 years","Male"
20792080,"35-44 years","Male"
20171966,"45-54 years","Male"
20499219,"55-64 years","Male"
14699579,"65-74 years","Male"
6998223,"75-84 years","Male"
2376488,"85 years and over","Male"
1847935,"Under 1 year","Female"
7719541,"1-4 years","Female"
20053140,"5-14 years","Female"
20877151,"15-24 years","Female"
22581141,"25-34 years","Female"
20867064,"35-44 years","Female"
20702936,"45-54 years","Female"
21949318,"55-64 years","Female"
16783854,"65-74 years","Female"
8971649,"75-84 years","Female"
4228470,"85 years and over","Female"
